Date,"Suchmaschinenoptimierung","Suchmaschinenmarketing"
2018-10-26,306,99
2018-10-27,151,41
2018-10-28,221,53
2018-10-29,396,86
2018-10-30,345,128
2018-10-31,259,83
2018-11-01,252,70
2018-11-02,252,61
2018-11-03,230,61
2018-11-04,244,61
2018-11-05,381,145
2018-11-06,337,137
2018-11-07,346,127
2018-11-08,354,122
2018-11-09,245,97
2018-11-10,220,55
2018-11-11,220,40
2018-11-12,383,111
2018-11-13,337,120
2018-11-14,364,124
2018-11-15,361,100
2018-11-16,287,84
2018-11-17,202,45
2018-11-18,185,51
2018-11-19,352,101
2018-11-20,421,123
2018-11-21,344,111
2018-11-22,325,94
2018-11-23,275,73
2018-11-24,154,41
2018-11-25,190,63
2018-11-26,349,97
2018-11-27,385,118
2018-11-28,381,93
2018-11-29,349,85
2018-11-30,324,99
2018-12-01,132,34
2018-12-02,178,58
2018-12-03,652,121
2018-12-04,440,101
2018-12-05,357,121
2018-12-06,331,96
2018-12-07,279,72
2018-12-08,188,48
2018-12-09,211,61
2018-12-10,368,121
2018-12-11,363,102
